0,5.34,,,,,,,,,,,
1,5.4,0.06,,V,pH,dpH,,,,,-15,2.02
2,5.53,0.13,,mL,,cm⁻³,,,,,-14,2.05
3,5.64,0.11,,0,5.35,0.04129,,,,,-13,2.09
4,5.74,0.1,,1,5.33,-0.06586,,,,,-12,2.13
5,5.83,0.09,,2,5.21,-0.173,,,,,-11,2.17
6,5.91,0.08,,3,5,-0.472,,,,,-10,2.22
7,6.01,0.1,,4,4.65,-0.687,,,,,-9,2.28
8,6.07,0.06,,5,3.25,-0.706,,,,,-8,2.36
9,6.16,0.09,,6,2.65,-0.536,,,,,-7,2.47
10,6.24,0.08,,7,2.47,-0.223,,,,,-6,2.65
11,6.34,0.1,,8,2.36,-0.105,,,,,-5,3.25
12,6.39,0.05,,9,2.28,-0.074,,,,,-4,4.65
13,6.49,0.1,,10,2.22,-0.057,,,,,-3,5
14,6.59,0.1,,11,2.17,-0.047,,,,,-2,5.21
15,6.72,0.13,,12,2.13,-0.042,,,,,-1,5.33
16,6.85,0.13,,13,2.09,-0.038,,,,,0,5.34
17,7.01,0.16,,14,2.05,-0.03514,,,,,1,5.4
18,7.24,0.23,,15,2.02,-0.03229,,,,,2,5.53
19,7.63,0.39,,16,,,,,,,3,5.64
20,8.24,0.61,,,,,,,,,4,5.74
21,8.67,0.43,,,,,,,,,5,5.83
22,8.91,0.24,,,,,,,,,6,5.91
23,9.08,0.17,,,,,,,,,7,6.01
24,9.22,0.14,,,,,,,,,8,6.07
25,9.35,0.13,,,,,,,,,9,6.16
26,9.45,0.1,,,,,,,,,10,6.24
27,9.55,0.1,,,,,,,,,11,6.34
28,9.65,0.1,,,,,,,,,12,6.39
29,9.74,0.09,,,,,,,,,13,6.49
30,9.82,0.08,,,,,,,,,14,6.59
,,,,,,,,,,,15,6.72
,,,,,,,,,,,16,6.85
,,,,,,,,,,,17,7.01
,,,,,,,,,,,18,7.24
,,,,,,,,,,,19,7.63
,,,,,,,,,,,20,8.24
,,,,,,,,,,,21,8.67
,,,,,,,,,,,22,8.91
,,,,,,,,,,,23,9.08
,,,,,,,,,,,24,9.22
,,,,,,,,,,,25,9.35
,,,,,,,,,,,26,9.45
,,,,,,,,,,,27,9.55
,,,,,,,,,,,28,9.65
,,,,,,,,,,,29,9.74
,,,,,,,,,,,30,9.82
